unit_price,promotion,day_of_week,month,quarter,lag_1,lag_7,rolling_7,product_encoded,aisle_encoded
4.98,1,3,8,3,0.0,0.0,0.0,0,1
10.85,1,3,8,3,5.0,0.0,0.0,0,4
27.32,0,5,9,3,2.0,0.0,0.0,0,3
10.34,1,2,10,4,5.0,0.0,0.0,0,0
28.49,1,1,10,4,4.0,0.0,0.0,0,9
1.36,1,4,10,4,2.0,0.0,0.0,0,4
17.53,1,3,11,4,1.0,0.0,2.857142857142857,0,9
27.63,0,0,11,4,1.0,5.0,2.5714285714285716,0,1
10.01,1,3,11,4,3.0,2.0,2.4285714285714284,0,10
23.11,1,4,12,4,1.0,5.0,1.8571428571428572,0,1
16.88,0,6,12,4,1.0,4.0,1.4285714285714286,0,4
26.42,1,2,1,1,1.0,2.0,1.5714285714285714,0,1
19.17,0,3,1,1,3.0,1.0,1.8571428571428572,0,10
19.28,1,3,1,1,3.0,1.0,1.8571428571428572,0,0
9.53,0,6,1,1,1.0,3.0,1.8571428571428572,0,3
12.39,1,6,1,1,3.0,1.0,2.4285714285714284,0,3
7.27,0,3,2,1,5.0,1.0,2.5714285714285716,0,8
14.63,1,3,2,1,2.0,1.0,2.5714285714285716,0,0
2.78,0,2,2,1,1.0,3.0,2.2857142857142856,0,4
2.26,1,1,3,1,1.0,3.0,2.4285714285714284,0,6
14.22,0,6,3,1,4.0,1.0,2.857142857142857,0,10
20.16,1,4,3,1,4.0,3.0,2.5714285714285716,0,4
17.3,1,5,4,2,1.0,5.0,2.0,0,5
9.14,0,4,4,2,1.0,2.0,2.0,0,8
13.13,0,5,4,2,2.0,1.0,2.0,0,9
7.85,1,1,4,2,1.0,1.0,2.142857142857143,0,2
1.61,1,1,4,2,2.0,4.0,1.8571428571428572,0,0
22.11,1,4,5,2,2.0,4.0,2.0,0,3
25.33,1,0,5,2,5.0,1.0,2.142857142857143,0,4
10.6,1,1,5,2,2.0,1.0,2.4285714285714284,0,4
25.17,1,2,5,2,3.0,2.0,2.7142857142857144,0,4
15.96,1,4,5,2,4.0,1.0,2.857142857142857,0,3
13.41,1,4,5,2,2.0,2.0,3.142857142857143,0,3
20.75,1,5,5,2,4.0,2.0,3.2857142857142856,0,0
7.5,1,3,5,2,3.0,5.0,2.7142857142857144,0,1
11.17,1,0,6,2,1.0,2.0,3.0,0,6
20.91,1,4,6,2,4.0,3.0,2.857142857142857,0,4
23.49,1,3,6,2,2.0,4.0,2.857142857142857,0,6
14.97,1,2,6,2,4.0,2.0,3.2857142857142856,0,5
28.67,1,3,7,3,5.0,4.0,3.2857142857142856,0,5
13.79,1,5,7,3,4.0,3.0,3.4285714285714284,0,10
10.84,1,5,7,3,4.0,1.0,4.0,0,3
28.72,1,2,7,3,5.0,4.0,4.0,0,3
22.55,1,3,7,3,4.0,2.0,4.285714285714286,0,7
9.34,1,0,8,3,4.0,4.0,4.285714285714286,0,6
25.0,1,1,9,3,4.0,5.0,3.857142857142857,0,5
19.28,1,2,10,4,2.0,4.0,3.857142857142857,0,6
1.18,1,2,10,4,4.0,4.0,3.857142857142857,0,3
27.48,1,1,10,4,4.0,5.0,3.857142857142857,0,3
5.06,1,3,10,4,5.0,4.0,4.0,0,6
18.74,1,4,10,4,5.0,4.0,4.0,0,6
10.52,0,0,10,4,4.0,4.0,3.857142857142857,0,4
28.53,1,4,11,4,3.0,2.0,3.7142857142857144,0,1
27.68,0,1,11,4,1.0,4.0,3.7142857142857144,0,8
22.13,1,5,11,4,4.0,4.0,3.857142857142857,0,6
28.99,1,4,11,4,5.0,5.0,3.857142857142857,0,10
26.92,0,6,11,4,5.0,5.0,3.7142857142857144,0,1
5.31,1,4,12,4,4.0,4.0,3.857142857142857,0,1
1.12,1,2,12,4,5.0,3.0,4.142857142857143,0,4
14.41,1,3,12,4,5.0,1.0,4.571428571428571,0,4
2.28,0,4,1,1,4.0,4.0,4.571428571428571,0,3
9.41,1,0,1,1,4.0,5.0,4.0,0,4
1.71,1,6,1,1,1.0,5.0,3.857142857142857,0,7
14.54,1,6,2,1,4.0,4.0,3.857142857142857,0,4
19.97,1,0,2,1,4.0,5.0,3.5714285714285716,0,8
27.23,1,0,2,1,3.0,5.0,3.0,0,9
15.03,1,2,2,1,1.0,4.0,3.0,0,6
14.39,1,1,2,1,4.0,4.0,3.142857142857143,0,10
14.33,1,2,2,1,5.0,1.0,3.5714285714285716,0,9
15.74,1,5,3,1,4.0,4.0,3.4285714285714284,0,5
21.88,1,5,3,1,3.0,4.0,3.142857142857143,0,2
23.97,1,1,3,1,2.0,3.0,3.2857142857142856,0,10
14.57,1,2,3,1,4.0,1.0,3.5714285714285716,0,0
23.68,1,3,3,1,3.0,4.0,3.5714285714285716,0,8
4.83,1,4,3,1,4.0,5.0,3.0,0,10
